,org_sent,processed_sent
67,A woman knocked on the door early in the morning to ask if I had extended my stay because the sheet she was carrying said the room we were in was listed as vacant.,woman knock door early morning ask extend stay sheet carry say room list vacant .
68,After speaking to her we packed our bags and left.,speak pack bag leave .
69,I paid for 3 nights online stayed for maybe 8 hours and left.,pay night online stay maybe hour leave .
70,Didnt even bother to argue about getting my money back just wanted to leave as fast as possible.,even bother argue get money back want leave fast possible .
71,If I had a pet fish I wouldn't bring it here.,pet fish would bring .
72,If that's what they considered remodeled I suggest they go out of business.,consider remodel suggest go business .
73,"We have waited for more than two hours for check in, (even we had already a confimation for our room a week ago).",wait two hour check even already confimation room week
74,"Receptionists said that ""Go another hotel, most of our rooms ACs don't work!"".",receptionist say go another hotel room acs
75,Finally we got the room around 2.30 AM.,finally get room around .
76,"One of the beds in 2 double bed room was broken, and they didn't do anything for 3 days:(((!",one bed double bed room break anything day emo_neg
77,"In an addition, pool was closed, it was under construction, ",addition pool close construction
78,Currently staying here for few nights (travel for work),currently stay night travel work
79,-Right off a Major high way,right major high way
80,-Mini fridge has mold and other stuff growing around the rubber of the door,mini fridge mold stuff grow around rubber door
81,-shower has a giant patch in the ceiling,shower giant patch ceiling
82,-Strange smell in the room (like covering up another odor),strange smell room like cover another odor
83,-Door frame in bathroom is broken,door frame bathroom break
84,-curtains stained along with couch in room.,curtain stain along couch room .
85,I’ve stayed in Ramada’s before and this is by far the lowest level one I’ve stayed at.,stay far low level one stay .
86,If I could I give this place zero star.,could give place zero star .
87,No ac in the rooms and the employee keep saying lies that the ac gonna be working after an hour.,ac room employee keep say lie ac go work hour .
88,In addition they don't let you know this issue after check in,addition let know issue check
89,Horrible Customer Service.,horrible customer service .
90,Everyone especially the Manager Kim has a disgusting attitude.,everyone especially manager kim disgusting attitude .
91,No pool.... No AC... Horrible disgusting carpets.,pool ac horrible disgusting carpet .
92,new york city bus tour booked this place during our stay.,new york city bus tour book place stay .
93,the free internet didn’t work until very late at night so don’t rely on the internet there.,free internet work late night rely internet .
94,the morning breakfast was amazing and the lady who served the food was super duper sweet and nice.,morning breakfast amazing lady serve food super duper sweet nice .
95,"the AC was working fine, ",ac work fine
96," the bathroom was pretty dirty and didn’t supply us enough with towels, which if u wanted more, had to be of extra charge.",bathroom pretty dirty supply enough towel u want extra charge .
97,Very clean very comfortable I would totally stay here again.,clean comfortable would totally stay .
98,"When I was checking in, many people where making complaints and I was getting worried.",check many people make complaint get worried .
99,There was nothing fun to do.,nothing fun .
100,I was really looking forward for the pool.,really look forward pool .
101,The ac was barley working.,ac barley work .
102,I was really really unhappy with my experience here,really really unhappy experience
103,"The room was very dirty , no towels , we had to scrub tub In order to take a shower .",room dirty towel scrub tub order take shower
104,"Bathroom floor was slimy husband wiped off with a clean towel ,it was black.",bathroom floor slimy husband wipe clean towel black .
105,"Very disappointed, they wouldn't even give us a discount,we haf a reservation for one more day ",disappointed would even give haf reservation one day
106," decided to go back home and lost are money ,wouldn't give a refund.",decide go back home lose money would give refund .
107,My partner and I were almost late to a wedding because our room wasn’t ready at check in time (3pm).,partner almost late wedding room ready check time
108,We were waiting since 1:30 along with other guests waiting to check in.,wait since along guest wait check .
109,"At 3 (the official check in time), there was a line because so many people were still waiting for rooms.",official check time line many people still wait room .
110,The hotel staff were clueless about when rooms would become available.,hotel staff clueless room would become available .
111,The only redeeming quality were the other guests who helped us out.,redeem quality guest help .
112,I made repeated attempts to discuss this with the manager who gave me the runaround.,make repeat attempt discuss manager give runaround .
113,She eventually contacted me back with an indifferent response.,eventually contact back indifferent response .
114,No one deserves this kind of experience.,one deserve kind experience .
115,I would give this place zero stars if I could.,would give place zero star could .
116,The ads online were completely misleading.,ad online completely misleading .
117,The AC barely worked and couldn’t be controlled and we are in the middle of a heat-wave.,ac barely work control middle heatwave .
118,The kicker was the bathroom door that had its knob/lock torn out from the door so the door could not close.,kicker bathroom door tear door door could close .
119,What hotel thinks it’s okay to house people in a room with broken doors that is drenched in cigarette smoke and not even mention oh maybe this room SUCKS is beyond me.,hotel think okay house people room broken door drench cigarette smoke even mention oh maybe room suck beyond .
120,We woke up as early as possible (not even 7am) to get the F out of there.,wake early possible even get f .
121,Staff was also unfriendly and barely acknowledges you.,staff also unfriendly barely acknowledge .
122,I would’ve rather paid for an overpriced uber to be home or crashed on a friend’s couch.,rather pay overprice uber home crash couch .
123,"One of the worst rundown hotels I have ever been to, and I have been in some bad ones!",one bad rundown hotel ever bad
124,Most of the rooms have non-functioning airconditioners.,room nonfunctione airconditioner .
125,I had to chenge rooms twice to finally get one with a window unit that worked.,chenge room twice finally get one window unit work .
126,the rooms are dirty and smelly.,room dirty smelly .
127,lights don't work and no hangers in the closts.,light work hanger clost .
128,The towels smell bad and burn your skin.,towel smell bad burn skin .
129,there were stains on the sheet and dust everywhere.,stain sheet dust everywhere .
130,"Check in took long due to first hotel room not shutting and the faucet leaking, second room the key didnt work.",check take long due first hotel room shut faucet leak second room key work .
131,"Once they fixed the key, the A/C ""worked"" ",fix key work
132, barely functioned in 90 degrees.,barely function degree .
133, walls paper thin so I could hear ever last cough.,wall paper thin could hear ever last cough .
134,Breakfast was good though.,breakfast good though .
135,"My groupon made it worth the money otherwise, it would have been overpriced",groupon make worth money otherwise would overprice
136,"Black mold, no working air conditioning, fluids of some kind on the walls, TV, mirror.",black mold work air conditioning fluid kind wall tv mirror .
137,"There is a Days Inn in Wayne, NJ with a pool and newly renovated, clean rooms for the same price.",day inn wayne nj pool newly renovate clean room price .
138,I would stay clear of this hotel.,would stay clear hotel .
139,Black mold in the shower.,black mold shower .
140,Also the entire ac unit for the complex stopped working in June and no eta when they would fix.,also entire ac unit complex stop work june eta would fix .
141,Place is supposed to be smoke free ,place suppose smoke free
142,Ac is still broke for everyone for two days now and there house keeping through away all my food.,ac still broke everyone two day house keep away food .
143,Overall experience in this Hotel was not up to the mark,overall experience hotel mark
144,First night was terrible.,first night terrible .
145,"Pulled in late and there were holes in the wall near the tv, electric outlet uncovered, sparking hairdryer, the hot water could have literally burned us, etc.",pull late hole wall near tv electric outlet uncover spark hairdryer hot water could literally burn etc .
146,The customer service staff did not know math and could not even do the bill right.,customer service staff know math could even bill right .
147,Had to bang on the door for the manager to come out and finish what the attendant couldn’t.,bang door manager come finish attendant
148,The cleaning crew was one person who took our clean towels and never cleaned the floor just wiped down the counters.,cleaning crew one person take clean towel never clean floor wipe counter .
149,This hotel really needs some updating and a face lift when it comes to who is employed.,hotel really need updating face lift come employ .
150,We checked out and went to another hotel down the street.,check go another hotel street .
151,Also Expedia does not help get you out of a hotel and into another.,also expedia help get hotel another .
152,Also everything was under renovation and the pictures lie online.,also everything renovation picture lie online .
153,Very surprised that this is a Wyndham since we’ve stayed at many in the past.,surprised wyndham since stay many past .
154,After my children and I traveled 11 hours we where exhausted so I booked a room here.,child travel hour exhausted book room .
155,"When I walked in the room it was the most disgusting thing I have ever seen..floor was full or dust and hair, mirrors smudged, toilet had urine around the seat.",walk room disgusting thing ever see floor full dust hair mirror smudge toilet urine around seat .
156,I called and complained so they switched us to another room and that room was just as bad the worker was even appalled of the rooms condition.,call complain switch another room room bad worker even appal room condition .
157,The head housekeeper walked in BAREFOOTED and said he saw no problem with the conditions.,head housekeeper walk barefoote say see problem condition .
158,I could not let my children sleep in such filth.,could let child sleep filth .
159,"Only gave 2 towels for four people, carpet was super wet, attendant constantly disappears and hard to contact, trash everywhere, very sketchy place.",give towel four people carpet super wet attendant constantly disappear hard contact trash everywhere sketchy place .
160,Beds were comfortable tho.,bed comfortable tho .
161,The AC was not working no one informed us that there wasnt any air condition in the units or Electric City.,ac work one inform air condition unit electric city .
162, then again to have such a rude manager who will allowed the facility to still operate under these circumstances would make me unhappy to work there either) they didn't even offer us a fan and the pool was being renovated so how can you cool off in 100ﾟ?,rude manager allowed facility still operate circumstance would make unhappy work either even offer fan pool renovate cool
163,"You will hope you can atleast take a shower, ",hope atleast take shower
164, the amount of dust and dirt surrounding the bathroom alone is enough to discuss you.,amount dust dirt surround bathroom alone enough discuss .
165,Then we couldn't get a refund because we booked it with groupon.,could get refund book groupon .
166,And I'm calling the Department of Health on them,call department health
167,"Only gave 2 towels for four people, carpet was super wet, attendant constantly disappears and hard to contact, trash everywhere, very sketchy place.",give towel four people carpet super wet attendant constantly disappear hard contact trash everywhere sketchy place .
168,Beds were comfortable tho.,bed comfortable tho .
169,First night was terrible.,first night terrible .
170,"Pulled in late and there were holes in the wall near the tv, electric outlet uncovered, sparking hairdryer, the hot water could have literally burned us, etc.",pull late hole wall near tv electric outlet uncover spark hairdryer hot water could literally burn etc .
171,The customer service staff did not know math and could not even do the bill right.,customer service staff know math could even bill right .
172,Had to bang on the door for the manager to come out and finish what the attendant couldn’t.,bang door manager come finish attendant
173,The cleaning crew was one person who took our clean towels and never cleaned the floor just wiped down the counters.,cleaning crew one person take clean towel never clean floor wipe counter .
174,This hotel really needs some updating and a face lift when it comes to who is employed.,hotel really need updating face lift come employ .
175,We checked out and went to another hotel down the street.,check go another hotel street .
176,Also Expedia does not help get you out of a hotel and into another.,also expedia help get hotel another .
177,We were on vacation and we had to do all the work ourselves.,vacation work .
178,Also everything was under renovation and the pictures lie online.,also everything renovation picture lie online .
179,Very surprised that this is a Wyndham since we’ve stayed at many in the past.,surprised wyndham since stay many past .
180,- Poor customer service,poor customer service
181,"- Argumentative staff who were unwilling to help, until I went to corporate",argumentative staff unwilling help go corporate
182,"- MOD and GM always ""on vacation"", or ""on lunch"" or ""running errands""",mod gm always vacation lunch running errand
