,Unnamed: 0,org_sent,processed_sent,service,room,loc
59,59,"The only saving grace, was that our room was cool and the beds were comfortable.","the only saving grace, was that our room was cool and the beds were comfortable",0.001,0.7383396625518799,0.001
60,60,Definitely not the cleanest.,definitely not the cleanest,0.001,0.29331544041633606,0.001
61,61,Great hotel and location.,great hotel and location,0.001,0.001,0.7911595106124878
62,62,Cheap price from Groupon.,cheap price from groupon,0.001,0.001,0.001
63,63,Cheap price from Groupon,cheap price from groupon,0.001,0.001,0.001
64,64,"The location was great, the accommodations were different and fun, and we had a wonderful time.","the location was great, the accommodations were different and fun, and we had a wonderful time",0.001,0.001,0.001
65,65,Awesome check in and check out service.,awesome check in and check out service,0.6334202885627747,0.001,0.001
66,66,Guest service personnel were warm and inviting.,guest service personnel were warm and inviting,0.6947736740112305,0.001,0.001
67,67,Awesome murals at the end of each hallway.,awesome murals at the end of each hallway,0.001,0.5311033725738525,0.001
68,68,Great add a touch.,great add a touch,0.001,0.4026608467102051,0.001
69,69,Our room was clean and efficient for need.,our room was clean and efficient for need,0.33899274468421936,0.5277653336524963,0.001
70,70,We travel our main concern is cleanliness.,we travel our main concern is cleanliness,0.001,0.3862585425376892,0.001
71,71,The Row definitely met that need.,the row definitely met that need,0.32012924551963806,0.001,0.001
72,72,Would definitely stay again.,would definitely stay again,0.001,0.001,0.001
73,73,The absolute WORST hotel I've ever stayed at!,the absolute worst hotel i've ever stayed at!,0.001,0.001,0.001
74,74,"So bad I didnt stay the night, I was terrified.","so bad i didnt stay the night, i was terrified",0.001,0.001,0.001
75,75,"I thought someone was breaking in my room there was a sketchy connecting door, place is totally outdated, room look like it wld have bed bugs, the ""guests"" look like they live there like a shelter,they were walking barefoot,place smelled like 1000 cigarettes.It's called the row, should be called skid row!","i thought someone was breaking in my room there was a sketchy connecting door, place is totally outdated, room look like it wld have bed bugs, the ""guests"" look like they live there like a shelter,they were walking barefoot,place smelled like 1000 cigarettesit's called the row, should be called skid row!",0.001,0.001,0.001
76,76,We had two full size beds and it was so comfortable!,we had two full size beds and it was so comfortable!,0.001,0.8609203100204468,0.001
77,77,I will say that the only hiccup is when you get on elevator.,i will say that the only hiccup is when you get on elevator,0.001,0.001,0.001
78,78,"This is great, except for when 10-12 different groups are told to get on same elevator.","this is great, except for when 10-12 different groups are told to get on same elevator",0.001,0.001,0.001
79,79,So there sometimes is a little wait for that.,so there sometimes is a little wait for that,0.001,0.001,0.001
80,80,Room was pretty clean.,room was pretty clean,0.001,0.7918073534965515,0.001
81,81,Found a pair of shoes in the closest so appeared to not be a thorough cleaning.,found a pair of shoes in the closest so appeared to not be a thorough cleaning,0.001,0.001,0.001
82,82,Location was excellent though.,location was excellent though,0.001,0.001,0.3263745605945587
83,83,I’d stay there again just lower expectations.,i’d stay there again just lower expectations,0.001,0.001,0.001
84,84,"The best things about the room is that it was spacious, clean, modern, deep and wide bathtub, and last, ","the best things about the room is that it was spacious, clean, modern, deep and wide bathtub, and last,",0.001,0.5462761521339417,0.001
85,85,Hotel staff not polite,hotel staff not polite,0.5858272314071655,0.001,0.001
86,86,"Groupon gave us a total price,however, upon checking in the hotel charged us a $39.00 facilities fee plus tax for the room totaling $43.00.","groupon gave us a total price,however, upon checking in the hotel charged us a $3900 facilities fee plus tax for the room totaling $4300",0.001,0.001,0.001
87,87,For that price added to the regular price of the room we could have stayed at a 5 star hotel such as Marriott or Hilton.,for that price added to the regular price of the room we could have stayed at a 5 star hotel such as marriott or hilton,0.001,0.001,0.001
88,88,Good: --Staff was very nice and helpful.,good: --staff was very nice and helpful,0.42687520384788513,0.001,0.001
89,89,--Comfortable beds.,--comfortable beds,0.001,0.5846416354179382,0.001
90,90,--Good food court in the hotel.,--good food court in the hotel,0.001,0.001,0.47776561975479126
91,91,"Not good: --When you check in they'll tell you that there's a ""mandatory"" $40 per night fee for the gym and internet and we didn't use either one.","not good: --when you check in they'll tell you that there's a ""mandatory"" $40 per night fee for the gym and internet and we didn't use either one",0.001,0.001,0.001
92,92,"--One evening a few of us were quietly relaxing in some comfortable chairs overlooking the bar and they made us move because ""it was time to close off that area"", which was ridiculous.","--one evening a few of us were quietly relaxing in some comfortable chairs overlooking the bar and they made us move because ""it was time to close off that area"", which was ridiculous",0.001,0.001,0.001
93,93,"My rsvp wasnt on their system when i got there, so they booked another reservation, ","my rsvp wasnt on their system when i got there, so they booked another reservation,",0.001,0.001,0.001
94,94,"So i paid double, and i was told i would get refunded ","so i paid double, and i was told i would get refunded",0.001,0.001,0.001
95,95, its been almost a month and still nothing!,its been almost a month and still nothing!,0.001,0.001,0.001
96,96,Oh and they put me in a standard room ,oh and they put me in a standard room,0.001,0.3507055640220642,0.001
97,97, i had paid for a king... luckily the night manager upgraded me or it woulda just bren 1 star...,i had paid for a king luckily the night manager upgraded me or it woulda just bren 1 star,0.001,0.001,0.001
98,98,I love my room and the little view I had it was very nice..,i love my room and the little view i had it was very nice,0.001,0.8604280948638916,0.001
99,99, umm that hallways just creeped me just a little and I'm taking on my friends page cause I felt it was too narrow to me ,umm that hallways just creeped me just a little and i'm taking on my friends page cause i felt it was too narrow to me,0.001,0.001,0.001
100,100,Random breakfast charge on my account.,random breakfast charge on my account,0.2713180482387543,0.001,0.001
101,101,Fire alarm went off at 3am.,fire alarm went off at 3am,0.001,0.001,0.001
102,102,Security guards near elevators were rude.,security guards near elevators were rude,0.001,0.001,0.001
103,103,Kiosk security & receptionist were great!,kiosk security & receptionist were great!,0.001,0.001,0.001
104,104,"Bathroom wasnt clean , razors on floor , tub was dirty.","bathroom wasnt clean , razors on floor , tub was dirty",0.001,0.6522889733314514,0.001
105,105,They have nice outside and amenities appeal ,they have nice outside and amenities appeal,0.001,0.48961272835731506,0.3767434060573578
106,106," need to take more pride in there rooms and cleanliness, if i wasnt here for just one day i would have left!","need to take more pride in there rooms and cleanliness, if i wasnt here for just one day i would have left!",0.001,0.001,0.001
107,107,"The location is great, very central, close to times square andall the touristy attractions.","the location is great, very central, close to times square andall the touristy attractions",0.001,0.001,0.5087118744850159
108,108,The rooms are extremely small.,the rooms are extremely small,0.001,0.7915578484535217,0.001
109,109,The beds are comfortable and air-conditioned.,the beds are comfortable and air-conditioned,0.001,0.8336906433105469,0.001
110,110,The bathroom is very small.,the bathroom is very small,0.001,0.7230518460273743,0.001
111,111,"Be aware that the hotel charges $40 more per night when you check in, as their ""resort"" fee, for internet and ""business center"".","be aware that the hotel charges $40 more per night when you check in, as their ""resort"" fee, for internet and ""business center""",0.001,0.001,0.001
112,112,We do not recommend this hotel.,we do not recommend this hotel,0.001,0.001,0.001
113,113,For so many reasons.,for so many reasons,0.001,0.001,0.001
114,114,There isnt enough space to share details.,there isnt enough space to share details,0.001,0.5287173986434937,0.001
115,115,"Cockroach, Fee charged to use the facilities (what?","cockroach, fee charged to use the facilities (what?",0.001,0.34039241075515747,0.001
116,116,"), poor communication between staff, Dirty room (bring sanitizing wipes if you choose to stay), reserved Fridge never came after promised.","), poor communication between staff, dirty room (bring sanitizing wipes if you choose to stay), reserved fridge never came after promised",0.001,0.001,0.001
117,117,Bellmen watched from lobby as we carried luggage in heavy downpours.,bellmen watched from lobby as we carried luggage in heavy downpours,0.001,0.001,0.001
118,118,The elevator system is ridiculous.,the elevator system is ridiculous,0.2919674217700958,0.001,0.001
119,119,The room so small and bathroom had mold in the shower.,the room so small and bathroom had mold in the shower,0.001,0.6860783696174622,0.001
120,120,The security does nothing to help.,the security does nothing to help,0.29251644015312195,0.001,0.001
121,121,I got charged more money on check out,i got charged more money on check out,0.001,0.001,0.001
122,122,Small closet size rooms,small closet size rooms,0.001,0.833304226398468,0.001
123,123,Stayed in a small room w a king sized bed.,stayed in a small room w a king sized bed,0.001,0.5226773023605347,0.001
124,124,The room was super hot all the time.,the room was super hot all the time,0.001,0.5462027788162231,0.001
125,125,Night stand and closet were stained w some type of gel or liquid that wasn’t cleaned off.,night stand and closet were stained w some type of gel or liquid that wasn’t cleaned off,0.001,0.5617066025733948,0.001
126,126,Walls are super thin so you can hear pretty much everything.,walls are super thin so you can hear pretty much everything,0.001,0.5761876702308655,0.001
127,127,Room didn’t come w a microwave or mini fridge.,room didn’t come w a microwave or mini fridge,0.001,0.46934279799461365,0.001
128,128,Resort fee.,resort fee,0.001,0.001,0.001
129,129,Elevators constantly dirty.,elevators constantly dirty,0.001,0.29183974862098694,0.291704922914505
130,130,"Room smelled musty, found hair in tub, rusty hole on bathroom door frame.","room smelled musty, found hair in tub, rusty hole on bathroom door frame",0.001,0.2785266041755676,0.001
131,131, no type of air freshner used.,no type of air freshner used,0.001,0.632058322429657,0.001
132,132,The best thing was the City Kitchen and candy shop restaurants at the hotel.,the best thing was the city kitchen and candy shop restaurants at the hotel,0.001,0.001,0.342099130153656
133,133, the fire alarm went off for no reason and I waited over 30 minutes for security to come turn it off.,the fire alarm went off for no reason and i waited over 30 minutes for security to come turn it off,0.001,0.001,0.001
134,134,Conveniently located.,conveniently located,0.001,0.001,0.7231726050376892
135,135,"Friendly, courteous, helpful staff.","friendly, courteous, helpful staff",0.6338668465614319,0.001,0.001
136,136,Actually had a woman who was vacuuming help us with the computers when we were struggling to print our airline boarding passes.,actually had a woman who was vacuuming help us with the computers when we were struggling to print our airline boarding passes,0.5099457502365112,0.001,0.001
137,137,She saw us trying to figure it out and turned off the vacuum and came and helped us out.,she saw us trying to figure it out and turned off the vacuum and came and helped us out,0.001,0.001,0.001
138,138,It was around 8 a.m. on Oct 31st.,it was around 8 am on oct 31st,0.001,0.001,0.001
139,139,Comfortable beds.,comfortable beds,0.001,0.7230521440505981,0.001
140,140,"Clean room, comfortable beds, quiet room, and we were on the street side.","clean room, comfortable beds, quiet room, and we were on the street side",0.001,0.7781568765640259,0.001
141,141,"Location, location, location !!!","location, location, location !!",0.001,0.001,0.7915127277374268
142,142,A very busy hotel when we were there and we were still happy with our stay.,a very busy hotel when we were there and we were still happy with our stay,0.001,0.001,0.001
143,143,Hotel was great.,hotel was great,0.001,0.001,0.001
144,144,Room was clean all we needed.,room was clean all we needed,0.001,0.7914307713508606,0.001
145,145,I mean really liked it.,i mean really liked it,0.001,0.001,0.001
146,146,Great for location.,great for location,0.001,0.001,0.7220558524131775
147,147,A few minutes away from Time Square and the Bagel shop you must try: search for Pick a Bagel.,a few minutes away from time square and the bagel shop you must try: search for pick a bagel,0.001,0.001,0.36963772773742676
148,148,It was our first time in New York and we drove there.,it was our first time in new york and we drove there,0.001,0.001,0.001
149,149,"There's a car park around the corner and because we stayed at the hotel, we got $20 off the 2 night parking.","there's a car park around the corner and because we stayed at the hotel, we got $20 off the 2 night parking",0.001,0.001,0.579545259475708
150,150,"Modern, clean, cocktail lounge, food court in lobby, great stadium seating in those areas for people watching in the lobby and outside the windows.","modern, clean, cocktail lounge, food court in lobby, great stadium seating in those areas for people watching in the lobby and outside the windows",0.001,0.4202100932598114,0.20897582173347473
151,151,Rooms were nice and clean.,rooms were nice and clean,0.001,0.7919674515724182,0.001
152,152,The bed was comfortable and the view of the city from our room was beautiful.,the bed was comfortable and the view of the city from our room was beautiful,0.001,0.8808413743972778,0.001
153,153, we stayed for only one night so it was just enough space for us.,we stayed for only one night so it was just enough space for us,0.001,0.29112935066223145,0.001
154,154,"Friendly staff,food court.","friendly staff,food court",0.43377387523651123,0.001,0.23313891887664795
155,155,"Convenient location, very helpful staff, and the elevator system was new to me ","convenient location, very helpful staff, and the elevator system was new to me",0.37702178955078125,0.001,0.2937377691268921
156,156,Rooms were very clean.,rooms were very clean,0.001,0.7229593396186829,0.001
157,157,The location was great and the staff was great.,the location was great and the staff was great,0.001,0.001,0.6327956914901733
158,158,Check in and check out (by phone) was super easy.,check in and check out (by phone) was super easy,0.3466452658176422,0.001,0.001
159,159,"It was clean, no bed bugs, awesome location, and auper accommodating staff.","it was clean, no bed bugs, awesome location, and auper accommodating staff",0.001,0.4937276840209961,0.001
160,160,Clean rooms.,clean rooms,0.001,0.7229586839675903,0.001
161,161,Great location.,great location,0.001,0.001,0.7220808267593384
162,162,Terrible staff and room.,terrible staff and room,0.29194343090057373,0.2913956046104431,0.001
163,163,Our room had black mold as a result of prolonged leak from some room upstairs.,our room had black mold as a result of prolonged leak from some room upstairs,0.001,0.001,0.001
164,164,Staff didn't care and was less than sympathetic.,staff didn't care and was less than sympathetic,0.5308563113212585,0.001,0.001
165,165,I would never go back and would never recommend this hotel to anyone.,i would never go back and would never recommend this hotel to anyone,0.001,0.001,0.001
166,166,I enjoyed the whole Row experience.,i enjoyed the whole row experience,0.001,0.001,0.001
167,167,Our room was just right.....spotless and tranquil.,our room was just rightspotless and tranquil,0.001,0.43420088291168213,0.23375476896762848
168,168,"Loved the City Market...complimentary breakfast, the location, friendliness of their staff.","loved the city marketcomplimentary breakfast, the location, friendliness of their staff",0.3096511662006378,0.001,0.001
169,169,Good view of city and was upgraded to a better room.,good view of city and was upgraded to a better room,0.001,0.6579611897468567,0.001
170,170,Wonderful stay.,wonderful stay,0.001,0.001,0.001
171,171,"Pleasant staff, nice and simple (","pleasant staff, nice and simple (",0.8328680396080017,0.001,0.001
172,172, trendy) hotel - right in the heart of it all.,trendy) hotel - right in the heart of it all,0.001,0.001,0.6040183901786804
173,173,The front desk host was very professional and helpful.,the front desk host was very professional and helpful,0.6953005194664001,0.001,0.001
174,174,Very clean and an awesome experience.,very clean and an awesome experience,0.001,0.3589373230934143,0.001
175,175,Clean reasonable food and deink,clean reasonable food and deink,0.001,0.35675743222236633,0.22655193507671356
176,176,"Great location, nice room and lobby with good food","great location, nice room and lobby with good food",0.001,0.28327593207359314,0.001
177,177,"Customer service where very rude , the rooms where dirty and the view really sucks theres only 1 windows in the rooms so u can barely see anything wasted my money here","customer service where very rude , the rooms where dirty and the view really sucks theres only 1 windows in the rooms so u can barely see anything wasted my money here",0.001,0.35342147946357727,0.001
178,178,"Disappointing in many ways: -Room is ""pre-war"" - not renovated like the lobby.","disappointing in many ways: -room is ""pre-war"" - not renovated like the lobby",0.001,0.001,0.001
179,179,-Bathroom is extremely small; I could barely fit in the space.,-bathroom is extremely small; i could barely fit in the space,0.31891757249832153,0.3459078073501587,0.001
180,180,-The mandatory $30/night hotel facility fee is a rip-off.,-the mandatory $30/night hotel facility fee is a rip-off,0.4571746587753296,0.001,0.001
181,181,It's just an excuse to ask for more money.,it's just an excuse to ask for more money,0.001,0.001,0.001
182,182,There were a series of unfortunate events such as not having a phone in our room and having the wrong dates booked for our stay.,there were a series of unfortunate events such as not having a phone in our room and having the wrong dates booked for our stay,0.001,0.001,0.001
183,183,Would not return.,would not return,0.001,0.001,0.001
184,184,We had one full size bed.,we had one full size bed,0.001,0.8327679634094238,0.001
185,185,The bathroom was tiny and felt dirty.,the bathroom was tiny and felt dirty,0.001,0.5814974308013916,0.001
186,186,There was no TV channel list or anything about the hotel.,there was no tv channel list or anything about the hotel,0.001,0.3801411986351013,0.001
187,187,"When I walked on the carpet floor without any socks on, my feet instantly became very itchy.","when i walked on the carpet floor without any socks on, my feet instantly became very itchy",0.001,0.31731781363487244,0.001
188,188,"We asked for two extra pillows at the end of the night, and we each woke up with a pimple on our faces.","we asked for two extra pillows at the end of the night, and we each woke up with a pimple on our faces",0.001,0.2622365355491638,0.001
189,189,"Parking spaces are hard to find, due to being in Times Sq.","parking spaces are hard to find, due to being in times sq",0.001,0.001,0.22125594317913055
190,190,Queen bed had enough space for two people.,queen bed had enough space for two people,0.001,0.7153253555297852,0.001
191,191,"Stayed at the ROW NYC, location convenient to Times Square, and safe.","stayed at the row nyc, location convenient to times square, and safe",0.001,0.001,0.6175833344459534
192,192,The lobby lounge was friendly and City Market was nice with lots of choices.,the lobby lounge was friendly and city market was nice with lots of choices,0.001,0.001,0.001
193,193,"Our room was clean and quiet, Will go back","our room was clean and quiet, will go back",0.001,0.5005701184272766,0.001
194,194,Perfect location.,perfect location,0.001,0.001,0.7226921916007996
195,195,Just enough space for a single person or couple in the full bed room.,just enough space for a single person or couple in the full bed room,0.001,0.5404995083808899,0.001
196,196,"Indulge and take the NYC tour foe Uptown, Downtown and Staen Island Ferry.","indulge and take the nyc tour foe uptown, downtown and staen island ferry",0.001,0.001,0.5426973104476929
197,197,Be sure to stop at the photo booth and take a few flicks and have them emailed to you.,be sure to stop at the photo booth and take a few flicks and have them emailed to you,0.001,0.001,0.001
198,198,Totally awesome trip.,totally awesome trip,0.001,0.001,0.001
199,199,"When I arrived the reservation was wrong, booked one room with 2 double beds and was told it was for a room with one bed, after showing them my Groupon they agreed it was a mistake ","when i arrived the reservation was wrong, booked one room with 2 double beds and was told it was for a room with one bed, after showing them my groupon they agreed it was a mistake",0.001,0.2782488465309143,0.001
200,200," didn't have any double rooms available, they ended up giving us 2 rooms near each other for no additional cost which was great ","didn't have any double rooms available, they ended up giving us 2 rooms near each other for no additional cost which was great",0.001,0.4055497646331787,0.21532504260540009
201,201, the customer service I experienced later in the evening was awful!,the customer service i experienced later in the evening was awful!,0.001,0.001,0.001
202,202,Nice place to stay at.,nice place to stay at,0.001,0.001,0.001
203,203,Great location right by Times Square.,great location right by times square,0.001,0.001,0.7917440533638
204,204,I was 19 at the time and finding hotels with a minimum check in age of 18 was/is hard.,i was 19 at the time and finding hotels with a minimum check in age of 18 was/is hard,0.001,0.001,0.001
205,205,The hotel was just a few minutes away from Time Square.,the hotel was just a few minutes away from time square,0.001,0.001,0.5436921715736389
206,206,I could see the H&M Tower from my room.,i could see the h&m tower from my room,0.001,0.001,0.001
207,207,"The room was small(could've been smaller so I'm not complaining), ","the room was small(could've been smaller so i'm not complaining),",0.001,0.4108023941516876,0.001
208,208,It was very clean and the hotel staff was also great.,it was very clean and the hotel staff was also great,0.2642073333263397,0.29324981570243835,0.3585975170135498
209,209,I would stay at this hotel again and again.,i would stay at this hotel again and again,0.001,0.001,0.001
210,210,Right in the middle of the theatre district and the onsite food court is very convenient!,right in the middle of the theatre district and the onsite food court is very convenient!,0.001,0.001,0.574185311794281
211,211,Staff very accommodating.,staff very accommodating,0.7234776616096497,0.001,0.001
212,212,The cafeteria was diverse and offered many choices to eat.,the cafeteria was diverse and offered many choices to eat,0.001,0.001,0.001
213,213,He helped get our room straight when we were put in the wrong one.,he helped get our room straight when we were put in the wrong one,0.001,0.001,0.001
214,214,Very clean and comfortable.,very clean and comfortable,0.001,0.7230522036552429,0.001
215,215,Had a beautiful view of the city on the 25th floor.,had a beautiful view of the city on the 25th floor,0.001,0.6153460741043091,0.001
216,216,Junior at check-in was great.,junior at check-in was great,0.001,0.001,0.5415120720863342
217,217,Check out was easy.,check out was easy,0.001,0.001,0.3894529938697815
218,218,The room needed a little repair.,the room needed a little repair,0.001,0.001,0.001
219,219,"There was duct tape on the corner of bed, the ""ergonomic"" desk chair was an old fold up chair and the heater made noise every time it kicked on.","there was duct tape on the corner of bed, the ""ergonomic"" desk chair was an old fold up chair and the heater made noise every time it kicked on",0.001,0.46985676884651184,0.001
220,220,Other than that would definitely stay there again.,other than that would definitely stay there again,0.001,0.001,0.001
221,221,I notice the price is better on the Row NYC website than the Groupon I purchased; so perhaps check the website to see if you can get a better price through the hotel.,i notice the price is better on the row nyc website than the groupon i purchased; so perhaps check the website to see if you can get a better price through the hotel,0.001,0.001,0.001
222,222,"The accommodations were lovely -- my girls said it was ""perfect for Millenials""","the accommodations were lovely -- my girls said it was ""perfect for millenials""",0.001,0.001,0.001
223,223,"Location, location, location.","location, location, location",0.001,0.001,0.792133629322052
224,224,Very convenient to the Broadway theaters,very convenient to the broadway theaters,0.001,0.001,0.7231809496879578
225,225,it is located near all major Times Square locations.,it is located near all major times square locations,0.001,0.001,0.8337246179580688
226,226,"The only negative I would say was the long line for the check in, other than that everything was perfect!","the only negative i would say was the long line for the check in, other than that everything was perfect!",0.001,0.001,0.3363553583621979
227,227,We arrived early and were able to check in right away!,we arrived early and were able to check in right away!,0.001,0.001,0.2744426131248474
228,228,Valet parking is worth it to save yourself the headache.,valet parking is worth it to save yourself the headache,0.2655225396156311,0.001,0.31083160638809204
229,229, it was really cute.,it was really cute,0.001,0.7210583686828613,0.001
230,230,"clean, price except for add on daily charges","clean, price except for add on daily charges",0.001,0.2613561153411865,0.001
231,231,"Clean rooms ,efficient staff ,great location.","clean rooms ,efficient staff ,great location",0.30970820784568787,0.3724457025527954,0.24618466198444366
232,232,"Very convenient location, close to Times Square and theaters.","very convenient location, close to times square and theaters",0.001,0.001,0.8341463208198547
233,233,It was clean and big enough to soak in.,it was clean and big enough to soak in,0.001,0.5967237949371338,0.001
234,234,This is a huge plus for someone who lives with a stall shower and just wants to relax in a nice hot bubble bath.,this is a huge plus for someone who lives with a stall shower and just wants to relax in a nice hot bubble bath,0.001,0.34554240107536316,0.001
235,235,"The room was very nice, location was VG.","the room was very nice, location was vg",0.001,0.523134171962738,0.31051090359687805
