,org_sent,processed_sent
103,"Housekeeping was not very attentive - expected clean sheets on day 2, ",housekeeping attentive expect clean sheet day
104,"Close to Broadway, Times Square, Subway.",close broadway time square subway .
105,Staff was very helpful.,staff helpful .
106,Love that they had free water for you to take if needed.,love free water take need .
107,"Room was a little run down - furniture was worn and scratched, ",room little run furniture wear scratch
108, very comfortable and didn't bother me.,comfortable bother .
109,Would recommend.,would recommend .
110,This hotel is very well located only a few blocks from Broadway and Time Square.,hotel well locate block broadway time square .
111,There is free water in the lobby and porters available to help with luggage.,free water lobby porter available help luggage .
112,It is well kept and clean.,well keep clean .
113,"They even offered us a luggage keeping service for a reasonable fee so that we could check out, ",even offer luggage keeping service reasonable fee could check
114, still explore the city without having to take our luggage with us.,still explore city without take luggage .
115,Parking is available for a fee and the garage is right across the street from the hotel with full valet service included.,parking available fee garage right across street hotel full valet service include .
116,We booked the family room and it comfortable slept our family of 6.,book family room comfortable sleep family
117,The only problem we encountered was that the elevator was small and always full.,problem encounter elevator small always full .
118,"Since the hotel has 15 floors, if you are located near the top, this can be a problem - having to wait a long time to actually get on the elevator at times.",since hotel floor locate near top problem wait long time actually get elevator time .
119,I travel for work and like to stay in Times Square.,travel work like stay time square .
120,The Gallavant was a great choice for being in the heart of Times Square.,gallavant great choice heart time square .
121,"Clean, modern hotel.",clean modern hotel .
122, fit a good amount of people.,fit good amount people .
123,They were slow though.,slow though .
124,The room was very nice and comfy.,room nice comfy .
125,Couldn't hear outside noise.,could hear outside noise .
126,AC worked well.,ac work well .
127,The bathroom was a tight fit - even for NYC.,bathroom tight fit even nyc .
128,The room was very spacious with a lot of unused space - I wish they had given the bathroom a few extra inches from the room.,room spacious lot unused space wish give bathroom extra inch room .
129,Would definitely stay again.,would definitely stay .
130,Think it’s pricey for the value,think pricey value
131,The room was small and my bathroom was nicer than the room itself.,room small bathroom nice room .
132,They were stains on my bed sheets and I could feel the bed springs in my bed.,stain bed sheet could feel bed spring bed .
133,"Overall, I would not stay here again.",overall would stay .
134,There was no hot water most mornings.,hot water morning .
135,My bathrooms shower head was half broken off the wall so there was barely any pressure.,bathroom shower head half break wall barely pressure .
136,Nothing No have brake fast and parking included I don’t like this hotel,nothing brake fast parking include like hotel
137,"My husband and I spent a week at The Gallivant, and the hotel exceeded our expectations.",husband spend week gallivant hotel exceed expectation .
138, had been recently updated and was clean and comfortable.,recently update clean comfortable .
139,"The elevators were very slow and small, and I would not recommend the breakfast, ",elevator slow small would recommend breakfast
140, overall we had a great stay.,overall great stay .
141,"I appreciated the wifi, the staff was helpful enough, and the location cannot be beat.",appreciate wifi staff helpful enough location beat .
142,Would definitely stay again.,would definitely stay .
143,The 6 person family room was perfect!,person family room
144,Very spacious and clean.,spacious clean .
145,"It was so close to everything, and fairly clean.",close everything fairly clean .
146,"It was an old building, which I’m fine with, ",old building fine
147, the walls were so thin I was woken up at about 6am every morning to the chatter and incredibly loud slamming of doors as people were leaving their rooms.,wall thin wake every morning chatter incredibly loud slamming door people leave room .
148,"Also, the housekeeping in the hallways carried on so loudly while cleaning I never was able to sleep past 6am.",also housekeeping hallway carry loudly clean never able sleep past
149,I finally got some earplugs and that helped significantly.,finally get earplug help significantly .
150, sufficient for what I needed.,sufficient need .
151,Check-in and check-out were simple and fast.,checkin checkout simple fast .
152,"The room was small, housekeeping didn't pay attention to detail.",room small housekeeping pay attention detail .
153,We had to request towels and washcloths every evening when we returned.,request towel washcloth every evening return .
154,"Housekeeping carts were left in the hallway, the elevator was slow, very slow.",housekeeping cart leave hallway elevator slow slow .
155,"I don't know why the staff would take the elevators out of service at peak times, ",know staff would take elevator service peak time
156, 2 of the 3 elevators would get stuck in the top or bottom floors.,elevator would get stick top bottom floor .
157,"Housekeeping was nice and responsive when asked, which lead me to believe they were overwhelmed.",housekeeping nice responsive ask lead believe overwhelm .
158,I really appreciated the bottled water offered at the front when we departed or return.,really appreciate bottled water offer front depart return .
159,"I booked this hotel because of its location (super convenient to trains and Times Square), its clean and modern interiors, and its price compaired to other rooms in the area.",book hotel location super convenient train time square clean modern interior price compaire room area .
160," after the extra hotel fees (an ""Urban"" fee just because there are some tables and power outlets in the lobby, really?)",extra hotel fee urban fee table power outlet lobby
161,"and the taxes, I felt that the cost of my stay wasn't worth it.",taxis feel cost stay worth .
162,"I had a balcony room with an exterior door that wouldn't close all the way, a rattling air conditioner, no in-room hair dryer, missing in-room coffee, the wait for the elevators was ridiculous every time, the gym had about 3 pieces of equipment in it, and the staff at check-in and check-out were far from friendly.",balcony room exterior door would close way rattle air conditioner inroom hair dryer miss inroom coffee wait elevator ridiculous every time gym piece equipment staff checkin checkout far friendly .
163," to pay that much and not have things be great just wasn't worth it, in my opinion.",pay much thing great worth opinion .
