,org_sent,processed_sent
127,Pro Close to Penn station Inexpensive Huge fitness center Con Room tiny no space to move around or put suitcase No refrigerator water coffee or tea in the room Noisy could hear neighbor’s shower No counter space around bathroom sink Long line to check in,pro close penn station inexpensive huge fitness center con room tiny space move around put suitcase refrigerator water coffee tea room noisy could hear shower counter space around bathroom sink long line check
128, The New Yorker hotel has room interiors that don’t address practicality in small spaces.,new yorker hotel room interior address practicality small space .
129,There is no extra shelf or hooks in the bathroom to put your things on.,extra shelf hook bathroom put thing .
130," rooms are very small, hence, space is not efficiently used.",room small hence space efficiently use .
131,"Worse, the cleaning lady took my prescription pills so never have your room cleaned here.",bad cleaning lady take prescription pill never room clean .
132,I’m sure it was the cleaning lady because I don’t have my room cleaned and it was only when it was cleaned that my pills disappeared from my table.,sure cleaning lady room clean clean pill disappear table .
133,"Then we had our baggage kept in storage overnight while I go to DC only to learn the following day upon claiming that the guy who took my $10 fee should have issued me a receipt (thus, I was being charged again plus the guy probably pocketed the $10 hahaha).",baggage keep storage overnight go dc learn follow day upon claim guy take fee issue receipt thus charge plus guy probably pocket
134,Our room was perfect size not too small nor too big.,room perfect size small big .
135,Our beds were absolutely the best ever.,bed absolutely good ever .
136,I would recommend the hotel based on just the bed alone ,would recommend hotel base bed alone
137, the stay was very smooth from check in to check out.,stay smooth check check .
138,We had the day to stay and tour til our departure so Hitt had luggage storage access did just $5 per bag we used so we could still go through town with the kids and not carry our belongings m. Absolutely our best stay in New York.,day stay tour til departure hitt luggage storage access per bag use could still go town kid carry belonging m. absolutely good stay new york .
139,Huge lobby to sit as you await your transportation or friends.,huge lobby sit await transportation friend .
140,I was Nickle and dimed for everything.,nickle dim everything .
141,"You charged me $35 resort fee, then $5 for every piece of luggage to leave with bellhop.",charge resort fee every piece luggage leave bellhop .
142,My room wasn’t even clean.,room even clean .
143,"Directly across from Madison Square Garden and subway across the road, the hotel is perfect for downtown exploring.",directly across madison square garden subway across road hotel perfect downtown explore .
144,"The last night of our stay, at 2am we noticed the toilet was flooded.",last night stay notice toilet flood .
145,Dirty water was all over the bathroom floor.,dirty water bathroom floor .
146,We cleaned the floor with the bath towels.,clean floor bath towel .
147,"We spent almost AUD 500 a night, so we did not expect an event like this in the middle of the night.",spend almost aud night expect event like middle night .
148,We have sent emails twice to the hotel in the past month to complain and asked for the last night's hotel fee to be refunded.,send email twice hotel past month complain ask last night hotel fee refund .
149,"Metro line to everything you need to take to explore New York is either next beside you on the 8th st or across, super convenient.",metro line everything need take explore new york either next beside st across super convenient .
150,"Value for money, Clean, Reasonable size.",value money clean reasonable size .
151,Why can't they clean up the hallways.,clean hallway .
152,This is my first time to stay in a hotel in NY.,first time stay hotel ny .
153,I chose the hotel because of its location near Penn Station as we were visitors to and fro DC.,choose hotel location near penn station visitor fro dc .
154,"The hotel is old, so I was already expecting old facilities.",hotel old already expect old facility .
155,"It was disappointing however that the room we got for a whopping 4-star rate does not have a refrigerator, nor any complimentary bottled water.",disappointing however room get whopping rate refrigerator complimentary bottled water .
156,"From our 20th floor, it says it is located in the 22nd.",floor say locate
157,"And during our stay, there were only two people in the entire hotel whom I receive smiles: the hotel manager and the housekeeper (the Asian).",stay two people entire hotel receive smile hotel manager housekeeper
158,There was one housekeeper whose face bear all the problems of the world.,one housekeeper whose face bear problem world .
159,I would not stay in this hotel again.,would stay hotel .
160,I'd rather go to a smaller boutique hotel that maybe its staff can give more attention.,would rather go small boutique hotel maybe staff give attention .
161,The room was small and the bathroom was cramped.,room small bathroom cramp .
162, the hallway was old and looked dirty.,hallway old look dirty .
163,"The location is convenient, particularly for those who take an Amtrak train since it is so close to the Penn Station.",location convenient particularly take amtrak train since close penn station .
164,A last minute cancellation due to water and gas outage found us looking for a hotel at very short notice.,last minute cancellation due water gas outage find look hotel short notice .
165,The New Yorker fit 90% of the brief.,new yorker fit brief .
166,"Very central, with Penn Station just 2 minutes walk and on the direct bus line from the ferry wharf.",central penn station minute walk direct bus line ferry wharf .
167,Everything was at your finger tips with the hop on hop off bus stop being only 1 block away for the downtown trips.,everything finger tip hop hop bus stop block away downtown trip .
168,The only 2 criticisms were nocoffee making facilities in the room and silly cushion size pillows.,criticism nocoffee make facility room silly cushion size pillow .
169,Good restaurants were only 1-2 blocks away.,good restaurant block away .
170,We chose this property through booking.com for the location.,choose property booking.com location .
171,"When we checked in, we were surprised that there was an additional US$45.00 daily charge for resort facilities.",check surprised additional daily charge resort facility .
172,The staff was kind enough to lower this to US$15.00 per day ,staff kind enough lower per day
173,"Moreover, the rationale for the facilities included unlimited domestic and international telephone calls which we would not need.",moreover rationale facility include unlimited domestic international telephone call would need .
174,"However, the stars of this hotel would be particular members of its staff and its location.",however star hotel would particular member staff location .
175,And they returned to clean when they said they would!,return clean say
176,The checkin clerk did what she could about the daily US$45 fee by lowering it.,checkin clerk could daily fee lower .
177,The hotel is also interesting for its history.,hotel also interesting history .
178,There is a small exhibit downstairs including a bust of Its famous guest Nikolas Tesla.,small exhibit downstairs include bust famous guest nikolas tesla .
179,I would definitely stay there again.,would definitely stay .
180,I stayed at the Wyndham for a second time because I had a coffee maker in my room on the last visit in 2018.,stay wyndham second time coffee maker room last visit
181,This time I was informed that a coffee maker for the room as $25 PER DAY.,time inform coffee maker room per day .
182,Very bad customer service.,bad customer service .
183, not a clean or especially safe location - lots of street rubbish and homeless people.,clean especially safe location lot street rubbish homeless people .
184,"Walking distance to Macy's, Empire State Building and Central Park.",walk distance macys empire state building central park .
185,The Italian Restaurant connected to the Hotel is great - great food and good service and not expensive.,italian restaurant connect hotel great great food good service expensive .
186,Service in hotel is minimal and no one will offer to help with bags etc.,service hotel minimal one offer help bag etc .
187,Great location.,great location .
188,Close to all transportation to get you anywhere you wanted to go in Manhattan.,close transportation get anywhere want go manhattan .
189,The rooms felt like you were stepping back in time in a good way giving a feeling that you were staying in a significant piece of history.,room feel like step back time good way give feeling stay significant piece history .
190,I thought it was rather expensive ,think rather expensive
191, NYC is an expensive city and the prices are comparable.,nyc expensive city price comparable .
192,We were given a complimentary upgrade to a room with 2 windows with an amazing view.,give complimentary upgrade room window amazing view .
193,Our friends were not so lucky and their view was of another room due to the architecture of the building.,friend lucky view another room due architecture building .
194, the food was hit and miss.,food hit miss .
195,Some staff went out of the way to make us feel welcome.,staff go way make feel welcome .
196,Didn’t really appreciate the daily resort fee as I did not use the fitness Center.,really appreciate daily resort fee use fitness center .
197,"All in all, I enjoyed my stay and I would stay there again.",enjoy stay would stay .
198,$25 for an electric kettle in the room is a rip off.,electric kettle room rip .
199,I chatted to housekeeping a couple times and she was a very kind and pleasant lady 🙂,chat housekeep couple time kind pleasant lady
200,The only reason I've been disappointed is that we have been charged $34 per night for the wife and phone calls.,reason disappoint charge per night wife phone call .
201,We were told that it was only a single fee of $34 for all the time we stayed at the hotel,tell single fee time stay hotel
202,I checked into the hotel late at night and went to sleep and woke up in the morning covered in bite marks from lice/bed bugs.,check hotel late night go sleep wake morning cover bite mark bug .
203,"After arguing with the hotel management they changed my room, refused to acknowledge the problem and instead tried to put the blame back onto me and said i brought the insects with me!",argue hotel management change room refuse acknowledge problem instead try put blame back onto say bring insect
204,The staff and the way the situation was handled was the worst customer service i've experienced in my life and im a frequent traveler and travel monthly all over the world.,staff way situation handle bad customer service experience life frequent traveler travel monthly world .
205,I spent my whole NYC trip uncomfortable and itchy and had to buy new clothes and lots of money at the pharmacy !,spend whole nyc trip uncomfortable itchy buy new clothe lot money pharmacy
206,"The room was relatively small, ",room relatively small
207, big enough for a couple.,big enough couple .
208,The art deco fittings in the bathroom and bedroom were beautiful.,art deco fitting bathroom bedroom beautiful .
209,"The location is fantastic with a 10 mins walk to Times Square and on the edge of Chelsea, Hells Kitchen and Hudson Yards.",location fantastic min walk time square edge chelsea hell kitchen hudson yard .
210, they were still replaced everyday.,still replace everyday .
211,"There was also no coffee maker in the room, so had to get up and go to Starbucks opposite everyday",also coffee maker room get go starbuck opposite everyday
212,"Excellent location, alright near by Penn Station and beautiful night view of empire state building.",excellent location alright near penn station beautiful night view empire state building .
213,Staff provided good assistance for early check in and understanding for an extended check out despite being fully booked.,staff provide good assistance early check understanding extended check despite fully book .
214,"Great position-good diner with great staff(Dora)- rooms a little small-I didn't notice water, coffee and tea were provided-helpful front desk, especially Michael the manager",great positiongood din great room little smalli notice water coffee tea providedhelpful front desk especially michael manager
215,The best thing is it’s location.,good thing location .
216,Very close to the main sights.,close main sight .
217,It had a small bath and an iron which was useful.,small bath iron useful .
218,Unfortunately there were no tea/coffee making facilities and no bottled water.,unfortunately make facility bottled water .
219,The hotel does need updating and redecoration.,hotel need updating redecoration .
220,We were on the 35th floor where the corridors were beginning to look shabby.,floor corridor begin look shabby .
221,We had some problems with our door keycard which needed replacing every day.,problem door keycard need replace every day .
222,"A nice receptionist - I can’t remember her name, sorry - recognised our frustration and gave us free breakfast vouchers for use in the Tick Tock Diner.",nice receptionist remember name sorry recognise frustration give free breakfast voucher use tick tock din .
223,"I would recommend a Mexican diner called Lucy’s just across from the hotel, which offered good food/ drink at a reasonable price especially during happy hour - 4 to 7 pm.",would recommend mexican diner call across hotel offer good drink reasonable price especially happy hour pm .
224, it's actually a full size,actually full size
225,Great location... small room and out dated bathroom for the price,great location small room dated bathroom price
226, needs to provide complimentary coffee and Tea services with coffee maker in the room,need provide complimentary coffee tea service coffee maker room
