,org_sent,processed_sent
92,"Please remove this dump Groupon, you have a better standard for offerings.",please remove dump groupon well standard offering .
93,If I could give this zero stars I would.,could give zero star would .
94,"First of all, the pictures are not of this hotel.",first picture hotel .
95,We got there and went to our room to find out it was never cleaned.,get go room find never clean .
96,There were dirty towels on the ground and open soaps and shampoos.,dirty towel ground open soap shampoo .
97,Also the carpet was stained with something grotesque.,also carpet stain something grotesque .
98,When I went down to complain I was told they had nothing to offer me so we left.,go complain tell nothing offer leave .
99,Now I cannot get a refund from groupon.,get refund groupon .
100,"Old, not clean.",old clean .
101,"Worn, frayed carpets, shady electrical.",wear fray carpet shady electrical .
102,Broken bathroom fixtures and tiles.,break bathroom fixture tile .
103,Did have hot water and ther room temperature was fine.,hot water ther room temperature fine .
104,Close to subway.,close subway .
105,Read all the reviews.,read review .
106,"This is not a fancy place or even a good place, really.",fancy place even good place really .
107,But probably the cheapest that NYC offers... so?,probably cheap nyc offer
108,It is really a beautiful room; a beautiful and restful place to stay.,really beautiful room beautiful restful place stay .
109,"It was very comfortable, and everything was good.",comfortable everything good .
110,Check in was super easy and hassle free.,check super easy hassle free .
111,The room was clean only bad thing is trying to find parking,room clean bad thing try find parking
112,The staff is very pleasant and professional.,staff pleasant professional .
113,"I called to complain, they moved me to another old room!",call complain move another old
114,Similar to a rooming apartment.,similar room apartment .
115,"Then hours later they said they placed me on the wrong floor by that time, I checked out.",hour later say place wrong floor time check .
116,"Worst room they took full advantage of the fact that we booked through groupon and provided the worst room for us, with family it was not a good room to stay.",bad room take full advantage fact book groupon provide bad room family good room stay .
117,"Small, smelly, broken and dirty.",small smelly broken dirty .
118,Could not give no star so 1 star,could give star star
119,If I could give this zero stars I would.,could give zero star would .
120,The phone in the room did not work so you had to walk downstairs to ask where the ice machines were.,phone room work walk downstairs ask ice machine .
121,The TV would turn off and on it's own.,tv would turn .
122,The AC would conk out and the tubs are super slippery Both my daughter and I have injuries from slipping.,ac would conk tub super slippery daughter injury slip .
123,It took 6 hours and being reprimanded by Jimmy in maintenance for having to look for a non slip mat .,take hour reprimand jimmy maintenance look non slip mat
124,I reported my injury and the staff who does not wear name tags was like oh well not our problem .,report injury staff wear name tag like oh well problem
125,Their is only blinds on the windows and at night from 1- 3am all the lights and street sounds can be heard .,blind window night light street sound hear
126,I WANT MY MONEY BACK .,want money back
127,The pros were that the room was clean and it was close to the subway and Central Park.,pro room clean close subway central park .
128,The cons were that there was a lot of confusion about my reservation through Groupon despite having a confirmed reservation number.,con lot confusion reservation groupon despite confirm reservation number .
129,There was a line to see the person at the desk everyday and no one answered the phone.,line see person desk everyday one answer phone .
130,The hotel was very disorganized and poorly run.,hotel disorganized poorly run .
131,You only get one towel per person and they could not supply an additional towel.,get one towel per person could supply additional towel .
132,There was black mold in the bathroom.,black mold bathroom .
133,"Like I said, I don’t typically write reviews and am pretty easy going with accommodations, but can’t say I would recommend this hotel to anyone or personally stay there again.",like say typically write review pretty easy go accommodation say would recommend hotel anyone personally stay .
134,Time to gut this building and start over...,time gut building start
135,"horrible room, and ambiance",horrible room ambiance
136,They did assign me another room afterwards.,assign another room afterwards .
137,But not a good impression.,good impression .
138,"Basic, no frills at all.",basic frill .
139,Nightstand was in pretty rough shape.,nightstand pretty rough shape .
140,"Not dirty, but not exactly clean either.",dirty exactly clean either .
141,It served its purpose but I don’t intend on returning.,serve purpose intend return .
142,"This hotel isn’t worth it 1 star Their customer service is bad first they told me that I can have roller bed for free but when I got there it was $25 each, the room doesn’t look like the pictures at all.",hotel worth star customer service bad first tell roller bed free get room look like picture .
143,the floor is very dirty and sticky.,floor dirty sticky .
144,"The bed had only sheets I did tell The housekeeper to give a blanket, i called the front desk nobody answered.",bed sheet tell housekeeper give blanket call front desk nobody answer .
145,I would not recommend this hotel to anyone; the rooms do not look anything like the photos.,would recommend hotel anyone room look anything like photo .
146,The carpets are beyond disgusting and the customer service was also horrible as well.,carpet beyond disgusting customer service also horrible well .
147,I asked for three different rooms and still was not satisfied with the service and the hotel service essentially gave me an ultimatum to stay in the room or find another hotel in the middle of a snow storm.,ask three different room still satisfied service hotel service essentially give ultimatum stay room find another hotel middle snow storm .
148,Horrible experience they charged my card and never booked me a room so I was stranded in the city 3 hours away from home no transportation.,horrible experience charge card never book room strand city hour away home transportation .
149,The looks it was constructive themselves and by a actual contractor.,look constructive actual contractor .
150,"I do not recommend this place what so ever.Our bathroom door was busted, the sink had a crack, and the floor felt dirty and in some places dipped in as if the floor was sinking.Elevator number light did not work.Luggage was locked in my room and they could not open it.Waited 30 min outside my door with 2 kids after a 13hr drive.Wallet/clothes were in the room so couldnt leave or change.0 stars",recommend place ever.our bathroom door bust sink crack floor feel dirty place dip floor sinking.elevator number light work.luggage lock room could open it.waited min outside door kid room could leave change.0 star
151,I left New York and caught the 2am Bus back to DC.,leave new york catch bus back dc .
152,"This hotel is NADTY, OLD, OUTDATED!",hotel nadty old
153,"Old 1990 TV, stool flooded, wet nasty carpet, no view, bathroom tub rusty.",old tv stool flood wet nasty carpet view bathroom tub rusty .
154,I’ve talked to Manager and he didn’t seem surprised at all of my complaints.,talk manager seem surprised complaint .
155,Groupon I want my money back.,groupon want money back .
156,Everything about the room & hotel was outdated & dirty.,everything room hotel outdate dirty .
157,They didn't have soap for the shower.,soap shower .
158,Definitely a thumbs down.,definitely thumb .
159,Still waiting for my incentive back,still wait incentive back
160,Thanks so much for the service.,thank much service .
161,No stars don't go to this hotel horrible,star go hotel horrible
162,"Room was old - peeling and stained wallpaper, old TV set, smelly carpet, cracked bathroom tiles and old and not working water pipes.",room old peeling stain wallpaper old tv set smelly carpet crack bathroom tile old work water pipe .
163,Found hairs that weren’t mine in the sheets.,find hair mine sheet .
164,We booked a 1-night stay through groupon.,book stay groupon .
165,There was an old table and chair but the chair was one seat away from seeing the end of its days.,old table chair chair one seat away see end day .
166,The best part of the room was the bathroom.,good part room bathroom .
167,Also the location of the room was well placed.,also location room well place .
168,A friend of mine around last year booked a room (not through groupon) for multiple days and the room was the complete opposite.,friend around last year book room groupon multiple day room complete opposite .
169,"Nice bed, nice white dresser.",nice bed nice white dresser .
170,You wouldnt have believed we stayed in the same place.,would believe stay place .
171,I guess if you book through Groupon you get the crappy room.,guess book groupon get crappy room .
172,"We found mold in our tub, the walls were dirty, the room smelled like cigarettes and we had no television remote.",find mold tub wall dirty room smell like cigarette television remote .
173,Phone did not have identification on it so we had to play guess which button leads to the front desk.,phone identification play guess button lead front desk .
174,Cleaning lady did not bring us extra rags instead gave us extra towels.,clean lady bring extra rag instead give extra towel .
175,Small but good for the price.,small good price .
176,"The room was clean, and fine for a 1 night stay, but I wouldn't recommend if you are staying longer.",room clean fine night stay would recommend stay longer .
177,"The room had a faint smell of smoke, but that could have been from the lower floors.",room faint smell smoke could low floor .
178,She was able to check us in quickly.,able check quickly .
179,If you are in a pinch this is a decent place to stay.,pinch decent place stay .
180,This hotel is clearly understaffed and the place is a bit date but overall our stay was really great!,hotel clearly understaffed place bit date overall stay really
181,We were on vacation so we didn’t spend much time in our room.,vacation spend much time room .
182,It’s a great location for sight seeing.,great location sight seeing .
183,Minutes from Central Park and if you don’t mind walking or biking it’s perfect to do self guided tours.,minute central park mind walk biking perfect self guide tour .
184,I love how it was away from the more touristy spots.,love away touristy spot .
185,Terrible worst experience ever,terrible bad experience ever
186,location and hassle free,location hassle free
187,Charged me for two rooms.,charge two room .
188,"Hotel rep cancelled one, have yet to see that refund.",hotel rep cancel one yet see refund .
189,"Also hotel vending machine took my money and when I asked for that refund, rep stated it would be given back when I checked out, even after a note was inputted in the system.",also hotel vend machine take money ask refund rep state would give back check even note inputte system .
190,Bed was comfortable but house keeping only changed towels not bedding.,bed comfortable house keeping change towel bed .
191,Don’t trust the photos on the web this is not the room you will be getting.,trust photo web room get .
192,When we complained about this they stated that those photos are of the renovated rooms and we didn’t book one of those and tried to upcharge $30.,complain state photo renovate room book one try upcharge
193,The floor felt like we might fall right through and we were scared to use the shower.,floor feel like may fall right scared use shower .
194,The air conditioner was very noisy and there was a bunch of syringes in the bathroom.,air conditioner noisy bunch syrinx bathroom .
195,The staff was very pleasant and accommodating I have zero complaints about them.,staff pleasant accommodate zero complaint .
196,I would not recommend staying here.,would recommend stay .
197,We know what heat is like.,know heat like .
198,The hotel room was shabby.,hotel room shabby .
199,"The first room had mold and wallpaper peeling, the second the floor was giving in and the tub was full of rust, the 3rd room closet door appeared to have been punched with wholes in it.",first room mold wallpaper peeling second floor give tub full rust room closet door appear punch whole .
200,We asked for towel due to only having one in the bathroom we never got any.,ask towel due one bathroom never get .
201,Would not ever recommend this hotel unless you are someone looking to rent by the hour!,would ever recommend hotel unless someone look rent
202,I felt like I walked into a closet instead of a actual room.,feel like walk closet instead actual room .
203,There are no microwaves or mini fridge.,microwave mini fridge .
204,Room was old and dirty.,room old dirty .
205,"Disgusting never will I go there again, I found dirty pillow , someone’s hair, dirty tub, roach , crumbs on the floor the list goes on, staff is not helpful giving me the run around to fix the issues I had, don’t waste ur time or money going there",disgust never go find dirty pillow hair dirty tub roach crumb floor list go staff helpful give run around fix issue waste ur time money go
206,Im not going to post anything negative.,go post anything negative .
207,See the photos.,see photo .
208,Location was great.,location great .
209,"Out if the tourist fray but Starbucks, drugstore, diner, fast food and Ben & Jerry’s all nearby.",tourist fray starbuck drugstore din fast food ben nearby .
210,Horrible guy at check in tells me he does not see reservation and has me there for one hour had to call my boyfriend they spoke and then he let us in.,horrible guy check tell see reservation one hour call boyfriend speak let .
211,First night I cannot believe the manager actitudes.,first night believe manager actitude .
212,"The only area remodeling was the lobby, but just a little.",area remodeling lobby little .
213,Room clean but not enough towels and not conditioner and others stuff.,room clean enough towel conditioner stuff .
214,Photos are not the actual hotel room pics don’t get fooled you get your money worth that’s all I have to say.,photo actual hotel room pic get fool get money worth say .
215,"My room didn’t have hot shower, I went to the front desk and the lady said she was going to send an engineer.",room hot shower go front desk lady say go send engineer .
216,The “engineer” never show up.,never show .
217,I went downstairs a second time and requested a room change.,go downstairs second time request room change .
218,They assigned a new room that it was not in the elevator.,assign new room elevator .
219,They had a special room 13 that they call PH.,special room call ph .
220,It was a very shady experience.,shady experience .
221,The rooms were really dirty and not clean at all would never go back you shouldn’t have that one on your list,room really dirty clean would never go back one list
222,Hotel was absolutely dirty.,hotel absolutely dirty .
223,The hotel images are not the real images of the hotel rooms they are horrible but I guess I pay what my money is worth in NY.,hotel image real image hotel room horrible guess pay money worth ny .
224,"The staff was helpful, but rooms were outdated and the elevators didn’t work properly.",staff helpful room outdate elevator work properly .
225,"Incredibly rude front desk staff, carpet in hallways was ripped.",incredibly rude front desk staff carpet hallway rip .
226,"The ad stated that it had been renovated, but I guess they didn't specify which year it was renovated....The elevators were tiny and the glass in them was dirty.",ad state renovate guess specify year renovate elevator tiny glass dirty .
227,"Small room, old finishes, peeling paint, old smelly carpet",small room old finish peel paint old smelly carpet
228,In our original room we had an uninvited guest in the bathroom.,original room uninvited guest bathroom .
229,Needless to say I was violent w/him.,needless say violent
230,When I asked to change the room they would not and instead was told to talk to the manager who would not be here till next morning.,ask change room would instead tell talk manager would till next morning .
231,It was cool nice service but there is no breakfast there you have to go out,cool nice service breakfast go
232,We really liked the location.,really like location .
233,The Subway is very close and it's walking distance from Central Park.,subway close walking distance central park .
234,The lobby is nice but the remaining of the building not so much.,lobby nice remaining building much .
235,"I was looking for a affordable place and I got what we paid for, comparing to the other places in NY.",look affordable place get pay compare place ny .
236,"It's an old building, very tight hallways.",old building tight hallway .
237,"But if you are just looking for a place to spend the night and you are not too picky, it's ok. We were happy and had a great time in New York.",look place spend night picky ok . happy great time new york .
238,The best thing was the bed.,good thing bed .
239,The shower and mirrors were a little rusty.,shower mirror little rusty .
240,"The room was clean, but in need of remodeling.",room clean need remodeling .
241,"The wall paper peeling, the lampshapdes were cracked and office chair horribly worn.",wall paper peel lampshapde crack office chair horribly wear .
242,Pictures of the hotel should removed as the did not at all reflect the two rooms we were offrered.,picture hotel remove reflect two room offrere .
243,The lobby and front photo are accurate.,lobby front photo accurate .
244,There isn't housekeeping literally have to walk to the front desk for everything and the rooms are way too small plus non smokin room I had to keep goin outside furthermore the walls are very hallow thin .upgrade please !,housekeep literally walk front desk everything room way small plus non smokin room keep go outside furthermore wall hallow thin please
245,Paid for 2 nights stayed only 1 just from lack of communication.,pay night stay lack communication .
246,Love the discount yet request better service.,love discount yet request well service .
247,"No heat , no hot water , dirty room , only one towel was in bathroom, NO wifi .",heat hot water dirty room one towel bathroom wifi
248,Save your money don’t stay in this hotel otherwise you will cry whole night,save money stay hotel otherwise cry whole night
249,We were purposely given a room with absolutely no heat and the top windows open but too high to reach.,purposely give room absolutely heat top window open high reach .
250,I called to mention it and the annoyed desk clerk knew about the situation and only sent up extra blankets.,call mention annoyed desk clerk know situation send extra blanket .
251,The room was old and cold.,room old cold .
252,The TV was old fashioned.,tv old fashioned .
253,The wallpaper dirty and the lamp broken.,wallpaper dirty lamp break .
254,"However, great location and worthy for the price.",however great location worthy price .
255,"Horrible Customer Service from overnight staff on Jan 20, 2018.",horrible customer service overnight staff jan
256,"Wall paper was peeling, roaches in the bathroom.",wall paper peel roach bathroom .
257,Rooms look NOTHING like what is shown in these pictures.,room look nothing like show picture .
258,Door key gave me trouble upon every entry.,door key give trouble upon every entry .
259,No fridge or microwave.,fridge microwave .
260,Hotel staff wouldn’t allow me to use their microwave from their break room.,hotel staff allow use microwave break room .
261,Just thin bed sheets.,thin bed sheet .
262,The room was small and there was holes in the floor under the carpet that your foot went in.,room small hole floor carpet foot go .
263,Water would not stop running in bathroom sink .,water would stop run bathroom sink
264,Only good thing was the closeness to to sub way,good thing closeness sub way
265,"The room is very outdated, trim is missing from the walls, the wallpaper is peeling off the walls!",room outdated trim miss wall wallpaper peel
266,Not very clean and not very spacious.,clean spacious .
267,Marijuana smell throughout the hallways had my son with me.,marijuana smell throughout hallway son .
268,This was the worst hotel I ever stayed in.,bad hotel ever stay .
269,Very disappointed that Groupon would sponsor this hotel.,disappointed groupon would sponsor hotel .
270,I didn't expect much for the price I'd paid but this place was in bad shape.,expect much price would pay place bad shape .
271,"The room was horrific, so dirty as if it's never been cleaned.",room horrific dirty never clean .
272,Would never recommend this hotel.,would never recommend hotel .
273,An error was made in this reservation and Mercedes H. would not help to correct this.,error make reservation mercede h. would help correct .
274,This was the least helpful customer service I have dealt wit or heard of,least helpful customer service deal wit hear
275,I only gave two stars because the staff were nice and the hotel was in a good location.,give two star staff nice hotel good location .
276,One block from subway and 10 walk to Central Park.,one block subway walk central park .
277,Hotel was very very outdated.,hotel outdated .
278,"Tv were from early 2000years, ripped wall paper and boilers that never shut off so it was very warm in our room.",tv early rip wall paper boiler never shut warm room .
279,Honestly the room looked nothing like the posts say !,honestly room look nothing like post say
280,The floor felt like it was going to fall right through and the bathrooms had rust all over the bathtub!,floor feel like go fall right bathroom rust
281,The bed was comfy but other then that it deff was something I wouldn’t recommend unless you couldn’t find anything else.,bed comfy deff something recommend unless find anything else .
282,"Book on Groupon no Reservation at hotel took 30 mins to resolve asked for highest floor to get good view of city got 10 th fl no view when we got to floor hallway are so narrow seriously weird when we got to room beds are not double bed pics are not true of room and had weird smell , bathroom was ok nicest part of room will not book again rug had stains disappointing for $100 a nt disappointed ☹️",book groupon reservation hotel take min resolve ask high floor get good view city get th fl view get floor hallway narrow seriously weird get room bed double bed pic true room weird smell bathroom ok nice part room book rug stain disappointing nt disappointed
283,Horrible spot.,horrible spot .
284,I ended up spending more money to stay at a different hotel the second night.,end spend money stay different hotel second night .
285,We just left after the first night.,leave first night .
286,It’s not suitable for any type of lodging.,suitable type lodging .
287,Nothing works at all including computer to make room keys.,nothing work include computer make room key .
288,They tried to put us in an occupied room.,try put occupied room .
289,Only reason I gave it 1 star( doesn't deserve any)is because is the only way I can write a review.Place is a dump!,reason give star deserve way write review.place
290,"As soon as you walk in there's a horrible smell, sofa and furniture in lobby needs to be in garbage, room has holes on the floor that was covered with a filthy carpet!!!",soon walk horrible smell sofa furniture lobby need garbage room hole floor cover filthy
291,I did not stay there.I immediately went back to front desk and asked for a cancellation!,stay there.i immediately go back front desk ask
292,This hotel was the worst hotel I have ever experienced I wish I could give it 10 negative stars!!!!,hotel bad hotel ever experience wish could give negative
293,"The wall outside the room was unfinished, there was a crack in the door to which you could see through.",wall outside room unfinished crack door could see .
294,There were brown spots on my pillow case.,brown spot pillow case .
295,The bathroom was very small.,bathroom small .
296,It says room with a king bed more like a room with a full bed but they made a production that they were upgrading me to a queen bed.,say room king bed like room full bed make production upgrade queen bed .
297,This is the first time I have used Groupon and I’m extremely disappointed because that’s false advertising room with a king bed not true!!,first time use groupon extremely disappointed false advertising room king bed
298,Still too much money.,still much money .
299,Bathroom in the room had yellow stuff.,bathroom room yellow stuff .
300,Dont bother using the phone for maintence or any other help number because they dont pick up.,bother use phone maintence help number pick .
301,The hallway looked like you were in the projects.,hallway look like project .
302,"The staff was unfriendly, no helpful and made a very bad impression.",staff unfriendly helpful make bad impression .
303,"Actually saw a handicapped man struggling with the heavy outside doors, while two staff members stood immediately inside watching!",actually see handicapped man struggle heavy outside door two staff member stand immediately inside
304,"The place was very old, the towels were small and thin.",place old towel small thin .
305,"My bed had a divot about 1 1/2 foot long and about 5 inches wide, noticeable under the paper thin bedding.",bed divot foot long inch wide noticeable paper thin bedding .
306,In need of cleaning & renovations,need clean renovation
307,But Groupon didn’t showcase what the room actually looked like.,groupon showcase room actually look like .
308,Paid almost 200 including fees and it was a joke.,pay almost include fee joke .
309,I was better off just paying 400-500 dollars for a hotel and avoided going through Groupon alltogether.,well pay dollar hotel avoid go groupon alltogether .
310,Some hinges aren’t worth going cheap on.,hinge worth go cheap .
311,The headboard of the board actually fell off the wall and hit us while we were sitting up against it with pillows watching tv.,headboard board actually fall wall hit sit pillow watch tv .
312,"The shower did not drain properly, and the building is not very clean.",shower drain properly building clean .
313,The bathroom was dirty and there were holes in the walls.,bathroom dirty hole wall .
314,The door barely fit in the frame and could hardly close.,door barely fit frame could hardly close .
315,The hallways were a cramped maze and the elevators were old and small.,hallway cramped maze elevator old small .
316,"The room was also in the stairwell of the emergency exit, VERY sketchy.",room also stairwell emergency exit sketchy .
317,"Overall, not happy.",overall happy .
318,"Everything was great, I don’t need to say more.",everything great need say .
319,Absolutely disgusting.,absolutely disgusting .
320,"Wallpaper stained and peeling, carpet stained, AC unit duct taped to window, terrible smell.",wallpaper stain peeling carpet stain ac unit duct tape window terrible smell .
321,Both hotel and groupon refused to initiate a refund despite not being as advertised.,hotel groupon refuse initiate refund despite advertise .
322,Terrible customer service.,terrible customer service .
323,This was nothing like the picture and the hallway carpet smelled !!,nothing like picture hallway carpet smell
324,There no flat screen TVs the bed don’t look as nice as the photos.,flat screen tvs bed look nice photo .
325,Dingy walls and ripped paint by the heaters.,dingy wall rip paint heater .
326,honestly this shouldn’t be name 4 star cause it’s more like a 2 or 2.5 hotel.,honestly name star cause like hotel .
327,Totally the opposite of what you think ur gonna get.,totally opposite think ur go get .
328,"Clean, spacious and good environment",clean spacious good environment
329,"But, it seemed clean.",seem clean .
330,"The daytime staff was brusk and not super-friendly, but the nighttime guy was great.",daytime staff brusk superfriendly nighttime guy great .
331,"On the way in to the hotel, a departing guest told us not to leave anything in the room, because it would be stolen.",way hotel depart guest tell leave anything room would steal .
332,"Since I didn’t leave anything in my room unattended, I can’t speak to the validity of that.",since leave anything room unattended speak validity .
333,The location isn’t great if you plan to spend your time in midtown.,location great plan spend time midtown .
334,It’s a good $20 cab ride from the theater district.,good cab ride theater district .
335,"I expected this hotel to be shabby and out of date, but I didn't expect dirty.",expect hotel shabby date expect dirty .
336,The bathroom was dirty.,bathroom dirty .
337,I let the concierge know at 9pm when we got back to the hotel.,let concierge know get back hotel .
338,I explained my children needed a shower and needed to get to bed.,explain child need shower need get bed .
339,Called two more times.,call two time .
340,"Finally someone showed up, sprayed a spray in the shower and said they'd be back 25 minutes later my children were begging to go to be",finally someone show spray spray shower say would back minute later child beg go
341,*No Refrigerator ( have to pay separately) *TV Channels don't work *Not enough blanket *Room service with attitude *No parking *Bugs/ cockroaches in the room *Humid Rug and Smelly *Do not expect what they advertise *No Big Mirror,refrigerator pay separately channel work enough blanket service attitude parking cockroach room rug smelly expect advertise big mirror
342,"The staff was friendly, the bed was comfortable.",staff friendly bed comfortable .
343,This hotel had exactly what we needed.,hotel exactly need .
344,"A big comfortable bed to sleep in, a warm shower and AC.",big comfortable bed sleep warm shower ac .
345,It was all we needed as we were not in our room very much during our 3 night stay.,need room much night stay .
346,"If you are looking for more amenities or an upscale hotel, this wont have it.",look amenity upscale hotel .
347,Its a shabby place and I wouldn’t recommend it,shabby place recommend
348,"the quality of the hotel was not great, it was very far from the city too",quality hotel great far city
349,Very nice staff.,nice staff .
